"QID","X","Y","elev","nceldas","basin","strahler","q_cctr2","q_cctr10","q_cctr100","q_luctr2","q_luctr10","q_luctr100","q_ccluctr2","q_ccluctr10","q_ccluctr100","q_diftr2","q_diftr10","q_diftr100","v_cctr2","v_cctr10","v_cctr100","v_luctr2","v_luctr10","v_luctr100","v_ccluctr2","v_ccluctr10","v_ccluctr100","v_diftr2","v_diftr10","v_diftr100","kwtr2p","kwtr10p","kwtr100p","dntr2p_babf","dntr2p_baaa","dntr2p_baaf","dntr10p_babf","dntr10p_baaa","dntr10p_baaf","dntr100p_babf","dntr100p_baaa","dntr100p_baaf","srhtr2p_cl","srhtr2p_cob","srhtr2p_clcob","srhtr10p_cl","srhtr10p_cob","srhtr10p_clcob","srhtr100p_cl","srhtr100p_cob","srhtr100p_clcob"
1,846329.310178311,9885471.31378443,605,288,2,1,18.18565,15.14675,9.20985,4.52875,3.50555,2.56805,22.7144,18.6523,11.7779,-2.3483,-1.7625,-0.100499999999997,0.1157,0.09415,0.05915,0.0387,0.03855,0.03815,0.1544,0.1327,0.0973,-0.000600000000000017,-0.000699999999999978,9.99999999999335e-05,0.00205,0.171,0.397,0.0276897930315067,0.118467829684661,0.00120438134906261,0.483862433894269,0.361094576914356,0.152229737445404,0.683161248605938,0.856219821438831,0.5467637966145,0.00124724094952766,0.0423229279659557,0.64987300485576,0.0935763717358347,0.137563331871023,0.982486483175574,0.33352316850667,0.154955100300654,0.929485557886647
2,847287.042933132,9886850.60310631,566,1933,2,2,123.3179,101.5637,67.8357,30.5672,27.1372,24.6814,153.8851,128.7009,92.5171,-9.02599999999998,-1.05599999999995,-3.392,0.7713,0.62505,0.4002,0.2215,0.21475,0.2142,0.9928,0.8398,0.6144,-0.00839999999999985,0.00309999999999988,-0.00399999999999978,0.0118,0.139,0.366,0.105598659989119,0.31273554618166,0.00817086065579965,0.675336755802563,0.481582441876059,0.115078303367191,0.581340608011004,0.533687034635084,0.545237408113687,0.00417725524335411,0.0959646928038765,0.909273150120708,0.0921108628189182,0.103578091215136,0.975158249769351,0.423503203846886,0.11165244820557,0.983626955109377
3,851107.75361125,9888171.31378443,520,8621,2,3,484.693,408.2287,261.52965,138.4263,128.9772,116.23015,623.1193,537.2059,377.7598,-14.8836,-5.35279999999989,-24.3692999999998,3.4331,2.7918,1.7744,1.0533,1.0344,1.0293,4.4864,3.8262,2.8037,-0.0431999999999997,-0.00560000000000027,-0.00819999999999865,0.0206,0.257,0.585,0.100014048394061,0.311407885722058,0.0167499296309488,0.736399976332104,0.496740761627422,0.272934651593942,0.881306721998582,1,1,0.00637700822652221,0.133493043754538,0.77817987382314,0.121528221807715,0.200480999978688,0.925013316348225,0.454902911282978,0.240122856366548,0.984191848915537
4,853812.829306047,9889080.22722624,511,9715,2,3,496.17545,418.71555,273.1933,142.88305,129.65295,127.6308,639.0585,548.3685,400.8241,-3.67250000000001,-13.9048999999999,10.5971999999999,3.8575,3.139,1.99495,1.1613,1.1409,1.13455,5.0188,4.2799,3.1295,-0.0492000000000008,-0.00660000000000061,-0.0102999999999991,0.0298,0.302,0.66,0.124329566093643,0.440521840010088,0.0288372446699794,0.746031410481761,0.611824115531358,0.360602489569323,0.849315867878305,1,1,0.00707740548896274,0.19547920149442,0.848918597637533,0.118788918688234,0.271801268326257,0.942987870353262,0.443708562894018,0.315475238287491,0.963863818973638
5,851957.753611252,9887171.31378443,534,359,2,1,22.25195,18.21655,11.61635,6.29605,5.61925,4.73465,28.548,23.8358,16.351,-0.8429,-0.790500000000002,-1.1679,0.14135,0.1148,0.0726,0.03935,0.0395,0.0386,0.1807,0.1543,0.1112,-0.00290000000000001,-0.000399999999999984,-0.00180000000000002,0.0593,0.273,0.489,0.30185320872257,0.430529215911681,0.0462668430622434,0.935903415124886,0.488738730156161,0.291230044208957,0.678827981321047,0.722757535557389,0.847746613437259,0.0218946847906771,0.139962841767405,0.976258859930109,0.157056535789395,0.169233229568156,0.988133659075282,0.491745340229209,0.163688527101549,0.918786829701893
6,843963.819628428,9886215.24776726,705,234,2,1,20.1207,15.98035,10.027,2.8866,1.98495,1.4475,23.0073,17.9653,11.4745,-1.6144,-0.691300000000005,-0.403399999999998,0.09625,0.0774,0.0495,0.02025,0.0199,0.0203,0.1165,0.0973,0.0698,-0.000300000000000022,0.00120000000000001,-0.000400000000000067,0.000763,0.00609,0.0302,0.126382826575941,0.0350432805279404,0.000330105842129716,0.286038147917864,0.0478804074540226,0.0051012071760031,0.674172375469031,0.0824855983883951,0.0721192285523843,0.0204841319314786,0.000707967281576516,0.978535599792915,0.114080475288072,0.00170350802244068,0.786827992733157,0.528716009604559,0.00347885876821641,0.971767627299493
7,842449.174967487,9887271.31378443,836,305,2,1,29.5632,23.3982,14.9604,9.2616,6.5915,4.9293,38.8248,29.9897,19.8897,-3.56099999999999,-1.8764,-1.69159999999999,0.1198,0.09775,0.063,0.0419,0.04025,0.0398,0.1617,0.138,0.1028,-0.000999999999999973,0.000100000000000017,-0.001,7.26e-06,0.000695,0.0104,0.00494665196000482,0.0825372206307073,3.27246663300715e-06,0.0894976565315341,0.0575901473574542,0.000246999316896806,0.535577266732974,0.0513153468316774,0.0194433669997286,1.10459688092979e-05,0.00716577608458935,0.908147069815655,0.0100075318942034,0.00126464291374973,0.930064829202125,0.346222400376109,0.00127553928819124,0.947524617853048
8,844707.753611249,9887471.31378443,670,765,2,2,61.47785,50.64115,32.3447,19.49905,16.14765,12.5297,80.9769,66.7888,44.8744,-2.7505,-4.05410000000001,-3.6962,0.3009,0.245,0.15805,0.1028,0.0983999999999999,0.09745,0.4037,0.3434,0.2555,-0.00419999999999998,0.000399999999999956,-0.00270000000000004,0.000352,0.00841,0.0529,0.0210218815114396,0.147036856011036,0.000178127252994109,0.156173217987038,0.177312387173601,0.00386129184383481,0.636687104230185,0.143159724334105,0.0902863111634745,0.000242552649572514,0.0253817631332813,0.958799445289008,0.0259041486287505,0.00936461567091096,0.943585709964625,0.435933486745187,0.00783269320423452,0.911541210844253
9,842878.464289369,9887771.31378444,784,207,2,1,19.31415,15.62225,10.0766,8.05885,6.16295,4.6359,27.373,21.7852,14.7125,-2.1175,-1.7313,-1.55999999999999,0.0796,0.06535,0.04245,0.0355,0.03375,0.03305,0.1151,0.0991,0.0755,-0.00159999999999999,-0.000699999999999992,-0.000899999999999984,2.47e-05,0.00205,0.0204,0.00723843401612465,0.131017262283178,1.42482497208083e-05,0.0902530626369652,0.109896200275139,0.000758887115953781,0.572303584444396,0.0846356696454985,0.0343383688916662,1.92761960130516e-05,0.0163951989529424,0.985874737016687,0.0104132711791192,0.00424731903967746,0.923284342997645,0.358887881879242,0.00278680182313706,0.905328115433765
10,854996.34471788,9888855.23142971,518,134,3,1,10.81435,6.6259,4.3442,3.94545,1.1083,1.0574,14.7598,7.7342,5.4016,-5.6351,0.0649999999999977,-0.136399999999998,0.05475,0.04455,0.0283,0.01195,0.01185,0.012,0.0667,0.0564,0.0403,-9.9999999999989e-05,0.000300000000000009,0,0.000537,0.184,0.473,0.00999684296934832,0.0595137391715127,0.000300488977608816,0.678430178354119,0.431544602663859,0.168786042516557,0.813220195118021,1,0.7319818609062,0.000658503798352417,0.0198756607199136,0.456368484112821,0.097624278528318,0.147516460424823,0.955966333211514,0.398068691784569,0.179619043877988,0.986447431915274
11,846032.017679963,9887647.04971572,600,4145,2,3,295.07495,242.36965,154.38795,88.26265,76.10655,63.25995,383.3376,318.4762,217.6479,-14.1093,-24.1631,-4.52089999999998,1.65685,1.34675,0.85525,0.53675,0.52715,0.52595,2.1936,1.8739,1.3812,-0.0245000000000002,-0.00549999999999962,-0.000899999999999679,0.0103,0.103,0.292,0.114115321704004,0.262043399435647,0.00626014630146736,0.331418897950092,0.538676344078129,0.07837480591539,0.639524908554614,0.40321144705275,0.475185396200517,0.00472197176532008,0.0701129480904235,0.913766747632398,0.0946082260245686,0.0659754276094128,0.952596598936111,0.503213511514787,0.0698297624511366,0.994353773277463
12,848478.464289369,9888071.31378443,569,902,2,2,47.57665,40.72685,25.2955,12.25965,11.05545,9.31540000000001,59.8363,51.7823,34.6109,-1.45209999999999,-2.43029999999999,-1.17739999999998,0.36455,0.29655,0.1867,0.11455,0.11405,0.1127,0.4791,0.4106,0.2994,-0.00290000000000001,-0.00130000000000008,-0.00119999999999998,0.0191,0.264,0.558,0.108279763094185,0.339858348101695,0.0152376702504536,0.790574295209864,0.557562968569345,0.285997499116472,0.817025524896147,1,0.939346909928697,0.00575527092432104,0.131679819547043,0.839442091165656,0.118930383989094,0.214482651076936,0.98248648317558,0.40828320630108,0.239331302380057,0.976278329497759
13,840607.75361125,9889671.31378444,1292,210,2,1,20.9364,16.14795,10.43305,8.2037,5.53555,4.16145,29.1401,21.6835,14.5945,-3.8188,-1.63929999999999,-1.33150000000001,0.08065,0.0663,0.043,0.03645,0.0346,0.034,0.1171,0.1009,0.077,-0.00170000000000001,-0.000600000000000003,-0.001,1.38e-05,0.00109,0.0131,0.00469652817003717,0.0964352922407692,7.29829241161266e-06,0.0745658551318634,0.0847380552057999,0.000376811741819672,0.622875638061101,0.0726419858038128,0.0256174590296701,1.38450366332643e-05,0.0118424814772389,0.96495964875196,0.00767067634588348,0.00275806643278154,0.913134277579348,0.374476966883074,0.00161583293873691,0.847242355824848
14,843604.0073303,9889772.94213158,707,3512,2,3,276.94135,227.1813,148.04345,78.89995,68.3621,62.64655,355.8413,295.5434,210.69,-27.7051,-5.14459999999997,-6.24069999999995,1.4083,1.14455,0.72505,0.4609,0.45415,0.45375,1.8692,1.5987,1.1788,-0.0197999999999998,-0.00590000000000002,0.00129999999999963,0.00317,0.042,0.103,0.0976724161476515,0.188308722577771,0.00147001017755349,0.273396315354031,0.22354566622894,0.0272148028247826,0.574510036937447,0.20233010351369,0.151059736437767,0.00251555755867361,0.0303827950625561,0.998870565249492,0.0827023719568246,0.0226842637596535,0.976288515410604,0.411725697792263,0.0190212776911656,0.978547262291171
15,845895.621576894,9888671.31378444,644,207,2,1,12.74845,10.4251,6.4828,3.02605,2.6373,2.1224,15.7745,13.0624,8.6052,-0.903700000000004,-0.890599999999999,-0.180999999999997,0.08465,0.06875,0.0433,0.02575,0.02575,0.0254,0.1104,0.0945,0.0687,-0.000900000000000012,-0.000100000000000017,-0.000599999999999989,0.0196,0.201,0.408,0.167098505623954,0.270848665009467,0.0120438541586577,0.350885109141129,0.425319212820826,0.189197690539559,0.685972331459865,0.582228385383357,0.618199315042286,0.00958380256769564,0.0753675463910963,0.908102624705139,0.131894689067892,0.124959522410069,0.985877728483511,0.420072034591718,0.133788350145851,0.994916643534821
16,852728.464289369,9890371.31378443,509,13018,1,3,683.70775,584.5836,369.71965,171.97055,167.2707,152.66215,855.6783,751.8543,522.3818,-12.5333000000001,-15.3087999999999,-18.9234999999999,5.2114,4.2391,2.6695,1.5039,1.5045,1.5023,6.7153,5.7436,4.1718,-0.0348000000000006,-0.0183999999999997,0.0103999999999989,0.0332,0.312,0.642,0.132801732208387,0.411515108669358,0.0307228994814696,0.777310864564841,0.595693722806941,0.372102141565635,0.844426567023089,1,1,0.00856676995683703,0.183514970972623,0.82907525727923,0.128809428428422,0.262562501931204,0.938509118050786,0.431320702440256,0.304164908954844,0.97515975367047
17,850937.042933132,9890671.31378444,521,11835,1,1,666.4457,565.91575,354.13825,165.9287,155.21155,139.87635,832.3744,721.1273,494.0146,-11.2529999999999,-11.0315000000001,-24.3714999999997,4.75385,3.8642,2.4327,1.37375,1.375,1.3743,6.1276,5.2392,3.807,-0.0317000000000016,-0.0162000000000013,0.0106000000000002,0.0349,0.315,0.628,0.150306595471539,0.384115772028621,0.0297713116476145,0.84247564476342,0.583218638580469,0.369589403184173,0.836339374014203,1,1,0.0102042047879097,0.160200247737573,0.840119444862508,0.14023039833188,0.242612614195622,0.959923441030756,0.449771517485934,0.280812728738919,0.941330173460796
18,848478.464289369,9891371.31378443,614,254,1,1,15.92935,13.4315,8.2105,3.11175,2.5998,1.9823,19.0411,16.0313,10.1928,-1.1679,-1.23840000000001,0.00200000000000244,0.103,0.08375,0.0525,0.0322,0.03205,0.0319,0.1352,0.1158,0.0844,-0.000200000000000033,-0.000300000000000022,0.000199999999999978,0.00756,0.14,0.351,0.0939531736782181,0.239892174877512,0.00447500443746139,0.373104220483239,0.318647865963227,0.115431182786095,0.73763586280697,0.772460874962118,0.477800468326264,0.00357775100078572,0.0634865873667247,0.895265175385611,0.0922673920182404,0.103749273184323,0.958235566382426,0.355026497551368,0.120190581799432,0.962185040694369
19,845928.46428937,9891871.31378443,715,174,1,1,11.6451,10.1017,6.51565,2.247,1.9381,1.59595,13.8921,12.0398,8.1116,-0.7476,-0.627400000000002,-0.0521000000000029,0.0706,0.0574,0.036,0.0228,0.0227,0.0225,0.0934,0.0801,0.0585,-0.000199999999999992,-0.000399999999999998,0.000199999999999978,0.00606,0.131,0.328,0.0874529702906826,0.214120225019454,0.00337780786606964,0.374860414659101,0.308627340610172,0.105946504481611,0.722049018243703,0.727806109895282,0.434443190767748,0.00323104746585867,0.0532901884666509,0.888530548540929,0.090999114276696,0.0958371909121724,0.949773367471642,0.346207250941834,0.10987995689764,0.957105265621784
20,848266.332255012,9892112.73514067,600,1517,1,2,100.7104,85.77525,51.7935,24.382,22.61225,16.4182,125.0924,108.3875,68.2117,-4.77179999999997,-10.0823,-2.79140000000001,0.61105,0.4966,0.3116,0.19545,0.1964,0.195,0.8065,0.693,0.5066,-0.00449999999999995,-0.00340000000000029,2.22044604925031e-16,0.0132,0.19,0.42,0.105830129538543,0.26744147772643,0.00875182371761249,0.528036157914361,0.350334846027282,0.17518027886704,0.798746396051856,0.875403297047156,0.627132378831367,0.00531383341909997,0.0865696517837159,0.849473533534913,0.112585544181304,0.13427168574308,0.994350845744872,0.398772909563711,0.146529567941063,0.968942684338182
21,845508.713048004,9892472.27322118,731,180,1,1,15.52135,12.73215,7.8118,3.56315,2.86975,1.9784,19.0845,15.6019,9.7902,-1.5981,-1.41289999999999,-0.453400000000002,0.07375,0.05975,0.03755,0.02265,0.02285,0.02275,0.0964,0.0826,0.0603,-0.00070000000000002,-0.000300000000000009,-0.000100000000000017,0.000674,0.062,0.14,0.0415303016223174,0.0617752300851049,0.000239107838860347,0.337814605789225,0.278133390779703,0.0446629675756215,0.581806366604355,0.332649733431861,0.184322811635279,0.00181382820376152,0.00712520364742797,0.717598935159254,0.107849841977451,0.0294852287270604,0.932320188450765,0.3710671012341,0.030681491468978,0.925577448905411
22,842807.753611249,9891712.73514067,860,1869,2,2,161.14425,127.6132,81.37765,37.74195,28.2921,22.69535,198.8862,155.9053,104.073,-21.0417,-13.4739999999999,1.95050000000003,0.76395,0.6182,0.3883,0.22145,0.2222,0.2242,0.9854,0.8404,0.6125,-0.00890000000000013,-0.00219999999999976,0.00419999999999954,0.00152,0.012,0.0309,0.107470262162685,0.0745711319393117,0.000573643295964036,0.347020517887312,0.0872367343307965,0.00921800388682663,0.60073825774687,0.110496873602915,0.0525984753970599,0.0128969813085023,0.0024380864214939,0.931746841083481,0.11813749114856,0.00353178437415991,0.949213459436564,0.393419616509591,0.00432723573506355,0.921081307653988
23,840637.042933132,9893442.02446255,1238,960,2,2,93.723,75.0848,46.0484,20.7638,15.6191,10.2595,114.4868,90.7039,56.3079,-11.42,-8.26679999999999,-3.13420000000002,0.39325,0.31825,0.1999,0.11345,0.11375,0.1147,0.5067,0.432,0.3146,-0.00449999999999995,-0.00109999999999988,0.00200000000000011,2.97e-05,0.000609,0.00338,0.0715168537876605,0.00840161441588115,1.14753479702268e-05,0.249632460232032,0.017013229877312,0.0006342340440848,0.534515294233882,0.0229289778764682,0.00932707530724192,0.00746481651586561,4.91234713584365e-05,0.990964715498861,0.0937828653992135,0.000140500232301832,0.916585494771109,0.372984033709724,0.000338226900453376,0.850698081826825
24,849807.753611251,9892579.8924282,547,9472,1,3,571.22535,485.06455,306.90645,139.50855,128.33795,117.28185,710.7339,613.4025,424.1883,-12.6002999999999,-5.51189999999986,-20.7505000000001,3.8184,3.10095,1.9534,1.0829,1.08335,1.085,4.9013,4.1843,3.0384,-0.0254000000000003,-0.0100999999999996,0.00939999999999941,0.0389,0.288,0.586,0.171208354726276,0.35485341182524,0.0311289870468581,0.872387601459787,0.527180132930921,0.317862934444918,0.8979071017526,1,1,0.0129560678063823,0.142128260391969,0.836821700908523,0.145272319728383,0.200467992593207,0.970080113602056,0.4800389020596,0.230618134375301,0.969517547797218
25,844993.108950309,9893185.95844537,813,185,1,1,17.30525,13.78245,8.4519,4.17225,3.05655,2.0529,21.4775,16.839,10.5048,-2.4891,-1.5313,-0.586600000000004,0.07585,0.06145,0.0386,0.02335,0.02375,0.0236,0.0992,0.0852,0.0622,-0.000899999999999998,-0.000299999999999995,-0.000200000000000006,0.000969,0.0192,0.0435,0.0660268046826518,0.0791933241714247,0.000322440923846072,0.389012823955295,0.136422786507113,0.0145359876439475,0.592510602436827,0.143807977125526,0.0668688676933379,0.00582692453333811,0.00313410494742627,0.964973071149562,0.120614925301182,0.00620246414049841,0.874527226291197,0.378849943377899,0.00673981612125696,0.930044114152112
26,851872.39827219,9892606.66912349,561,368,1,1,22.7512,18.50485,12.2201,7.0599,5.12725,4.3357,29.8111,23.6321,16.5558,-3.6468,-0.909700000000004,-0.762999999999991,0.1467,0.11975,0.07555,0.0503,0.04985,0.04915,0.197,0.1696,0.1247,-0.00119999999999998,-0.000900000000000012,-5e-04,0.00108,0.151,0.384,0.0141416524036984,0.0916464107879467,0.000702183981494452,0.479510901095912,0.332721561126674,0.128646124629121,0.768888988661935,0.820092245442844,0.546075501740639,0.000678909182614595,0.0403676946357965,0.549468849286731,0.0911325283232857,0.117954476861178,0.978534199014576,0.376935481600896,0.131918936002319,0.966117095619838
27,845101.687594073,9893777.37980161,834,222,1,1,20.87455,16.658,10.23745,5.11265,3.788,2.53485,25.9872,20.446,12.7723,-2.9793,-1.8886,-0.761099999999999,0.0907,0.07345,0.0462,0.0279,0.02825,0.0282,0.1186,0.1017,0.0744,-0.00119999999999998,-0.000299999999999995,-0.000200000000000006,0.000557,0.0143,0.0343,0.0540399804567581,0.0715453704637924,0.000173392430002765,0.354398020006241,0.120028176531805,0.0101545089684988,0.609322978099253,0.130310169538586,0.0545303075076852,0.00385467728342848,0.00249134670354401,0.955942102296717,0.103082170030585,0.00495693989087442,0.880668862232077,0.376171238777332,0.0050425620759168,0.958781746656143
28,848616.332255012,9894571.31378443,619,1077,1,2,76.52995,63.7819,38.9201,19.20815,17.0796,12.7288,95.7381,80.8615,51.6489,-3.82650000000001,-6.59520000000002,-2.68159999999997,0.4372,0.35465,0.2226,0.1326,0.13295,0.1332,0.5698,0.4876,0.3558,-0.00419999999999998,-0.0018999999999999,0.00180000000000002,0.0223,0.198,0.393,0.173146715218727,0.270461911323762,0.0139853927416277,0.3710542275357,0.545329770853989,0.185631639576604,0.699667845838587,0.801824684624956,0.610700401626225,0.0108540394433002,0.0787187580410738,0.891343088670902,0.141772836686612,0.113545546640405,0.975158240408108,0.446818621462719,0.120350622675346,0.987578700868156
29,839907.75361125,9894654.15649691,1538,283,2,1,28.564,22.85475,14.86905,5.9351,4.48765000000001,3.88555,34.4991,27.3424,18.7546,-2.322,-0.210899999999988,-0.966899999999995,0.11605,0.09395,0.05905,0.03425,0.03435,0.03465,0.1503,0.1283,0.0937,-0.00149999999999997,-0.000299999999999995,0.000700000000000034,1.77e-06,5.44e-05,0.000436,0.060125413167862,0.00265401928961412,7.61531141200653e-07,0.214357352114266,0.00473621906613379,7.53411680122151e-05,0.519960046136751,0.00756704126533126,0.00187246224480358,0.00435519390179595,3.82992511005487e-06,0.935700535572229,0.0710516748226091,1.2328467305367e-05,0.922770554691493,0.333392730828974,3.61146966898485e-05,0.888016593502624
30,843293.108950309,9895785.95844538,1199,401,1,1,38.22735,30.2118,18.54165,8.15185,5.7992,3.87765,46.3792,36.011,22.4193,-5.2075,-2.98699999999999,-1.0981,0.16465,0.1332,0.0837,0.04765,0.0478,0.0482,0.2123,0.181,0.1319,-0.00189999999999999,-0.000399999999999956,0.000800000000000023,2.31e-05,0.000302,0.00197,0.109842586467607,0.00650391334734139,1.21261849994908e-05,0.25535703589958,0.0106491710829158,0.000382600994356663,0.572869252885465,0.0186320994542022,0.00641133274454357,0.0134394800128639,2.16206973502331e-05,0.931761675644987,0.0996320965390476,6.12404618915985e-05,0.908173552062604,0.378331849225405,0.000179615203659056,0.901448533566037
31,846369.885645606,9895271.31378443,749,775,1,1,65.96185,52.22215,33.2636,15.41855,11.50675,9.2705,81.3804,63.7289,42.5341,-8.74390000000002,-5.3917,0.840399999999988,0.3175,0.2569,0.16135,0.0924,0.0928,0.09345,0.4099,0.3497,0.2548,-0.00359999999999999,-0.00100000000000011,0.00149999999999995,0.00231,0.0145,0.0385,0.126921452745004,0.0793873941237672,0.000938957205241071,0.348629237918252,0.0918459998465482,0.0129532108498858,0.600368654617736,0.112972924290824,0.0685545192300616,0.0181506535333811,0.0028455243197687,0.940196067282781,0.155519771298201,0.0035257759537769,0.924451178908565,0.42638918828567,0.00540705093353733,0.874611730180325
32,848087.042933132,9896092.02446255,653,361,1,2,27.0433,22.3353,13.5473,6.1747,5.1804,3.5703,33.218,27.5157,17.1176,-2.3758,-2.64100000000001,-0.70620000000001,0.1467,0.1191,0.07465,0.0466,0.0469,0.04655,0.1933,0.166,0.1212,-0.00120000000000001,-0.000800000000000051,-9.9999999999989e-05,0.00743,0.127,0.262,0.11352750834485,0.198349885920652,0.00385933969817873,0.331269512022482,0.457685520430834,0.102567857452416,0.73607236253811,0.589841167460287,0.34040096339891,0.00484675619491104,0.0445113947230269,0.904761714374879,0.108380960814092,0.0772426744805534,0.948073178973206,0.356762364349458,0.0762234281791301,0.957664353259761
33,850302.677916456,9895242.02446255,633,395,1,2,24.24005,19.82045,12.68845,8.33885,7.53515,6.82085,32.5789,27.3556,19.5093,-1.2227,-0.747899999999987,-0.901499999999992,0.1621,0.13175,0.0827,0.0572,0.05635,0.0557,0.2193,0.1881,0.1384,-0.00199999999999997,-0.0025,0.000800000000000078,0.0792,0.253,0.453,0.304202802334887,0.441639239864467,0.0656219592576977,0.411800245447109,0.477053546227455,0.260587281657381,0.625079344012724,0.644009662896863,0.739761757498883,0.0295890891718595,0.154675509561517,0.880619173347166,0.163841527477478,0.143250643953841,0.958770453161205,0.462354073465522,0.148609167368633,0.964983872793177
34,841928.46428937,9897271.31378443,1326,343,1,1,33.52645,26.5086,16.3121,5.36085,3.60270000000001,2.2677,38.8873,30.1113,18.5798,-3.9391,-2.0892,-0.738,0.1411,0.1142,0.07175,0.0389,0.039,0.03925,0.18,0.1532,0.111,-0.00139999999999998,-0.000399999999999984,0.000500000000000056,9.74e-06,0.000173,0.00156,0.0731577940625189,0.00549967928492204,4.15444252533552e-06,0.196508350438268,0.0075265667774687,0.000194641355013131,0.608049437476614,0.0164348234893466,0.00594019590820997,0.00693857766010031,1.5628063470885e-05,0.93063657463016,0.0740863370349829,4.29778924316837e-05,0.854579585159451,0.404127344264471,0.000131720652348122,0.916592959564298
35,846878.464289368,9898471.31378443,806,3962,1,3,298.563,246.7097,152.4203,71.0988,64.6358,49.768,369.6618,311.3455,202.1883,-10.8486,-20.9928,-11.1210000000001,1.6067,1.30205,0.82115,0.4363,0.43695,0.43995,2.043,1.739,1.2611,-0.0133999999999999,-0.000900000000000567,0.00410000000000066,0.00795,0.059,0.168,0.119805692455057,0.149378001118927,0.00370588513059486,0.298265701574367,0.244131090560706,0.0416001250711311,0.645919130205025,0.375761468415653,0.241919093240869,0.00769653879064536,0.0294951085933829,0.996612157341855,0.102718636230134,0.028771539936027,0.999999999999997,0.423123492841894,0.0358371704104985,0.944714416345112
36,847380.976915954,9897098.09047973,693,167,1,1,15.09795,12.3613,7.60695,3.33815,2.7901,1.90565,18.4361,15.1514,9.5126,-1.2699,-1.3386,-0.534499999999994,0.0689,0.05575,0.035,0.02,0.02025,0.0202,0.0889,0.076,0.0552,-0.000799999999999995,-0.000100000000000003,0,0.000721,0.0166,0.0541,0.0815017364473148,0.0582369542912481,0.000252717887781773,0.38526784221275,0.131066506977353,0.0125927273408329,0.6072814798709,0.164814608633702,0.0830723320757579,0.00922254535628031,0.00143128236754941,0.906478822015597,0.121027989617357,0.00511841797886781,0.957672818746398,0.393449985757091,0.0086051384188115,0.930642884615849
37,839907.75361125,9899071.31378443,1451,251,1,1,26.80155,21.941,13.72615,5.79015,4.6187,3.19115,32.5917,26.5597,16.9173,-1.92449999999999,-2.04199999999999,-1.0389,0.10325,0.0835,0.0524,0.03055,0.0306,0.0309,0.1338,0.1141,0.0833,-0.0013,-0.000400000000000039,0.000599999999999934,8.38e-07,1.89e-05,0.000152,0.0930935716649205,0.00136395353352327,6.06483689496718e-07,0.246863251697971,0.00249584900759739,4.05259773386223e-05,0.47298628254279,0.00355075822267355,0.000851836156216994,0.00901939066898261,8.69677958204029e-07,0.908166982466117,0.0864237821442555,3.2999445772619e-06,0.940208275968572,0.31738164629878,1.18236839640184e-05,0.837410465467494
38,847207.75361125,9900171.31378444,851,1572,1,2,126.77865,102.12855,63.0462,21.67765,16.79355,12.4233,148.4563,118.9221,75.4695,-10.0879,-6.72069999999999,-2.48239999999998,0.63855,0.5174,0.3266,0.15165,0.1524,0.1539,0.7902,0.6698,0.4805,-0.000299999999999856,0.00239999999999996,0.000799999999999912,0.00267,0.0523,0.175,0.10108517749405,0.116746196818849,0.00107375885497237,0.328932303529418,0.341848361991936,0.0352077293716647,0.584847321416503,0.403911626659951,0.227099935481437,0.00368082340291775,0.0166308512189104,0.921079232314841,0.0893116381878338,0.0280049124871081,0.969518271198002,0.36732537792974,0.0418422958347091,0.935706386969209
39,848107.75361125,9898412.73514067,743,1922,1,2,139.367,114.3708,75.1815,23.9926,21.2016,19.511,163.3596,135.5724,94.6925,-9.58960000000005,-4.06279999999995,1.31919999999997,0.77815,0.631,0.39825,0.19075,0.1917,0.19305,0.9689,0.8227,0.5913,-9.9999999999878e-05,0.00239999999999996,0.000899999999999901,0.0102,0.128,0.301,0.141383806835819,0.223658281725166,0.00544463537848842,0.30922313024591,0.432576312457493,0.102935889503427,0.66428246578301,0.645058160543439,0.432797908752711,0.0063415494170046,0.0497116413105938,0.937950239190563,0.107107524794184,0.0785382280311897,0.991530749337997,0.415787578817268,0.0837379061488481,0.980805764962034
40,844630.976915955,9902194.53708914,1207,383,1,1,36.51235,28.9653,17.8347,7.39265,5.30360000000001,3.5926,43.905,34.2689,21.4273,-4.5259,-2.64939999999999,-0.990200000000002,0.1561,0.1265,0.0796,0.0425,0.0426,0.0429,0.1986,0.1691,0.1225,-0.00140000000000001,-0.000400000000000011,0.000599999999999934,0.000153,0.00418,0.0332,0.0472943610738802,0.0608831785727573,4.16238026854546e-05,0.192901442777128,0.0705929196796172,0.00226639299508248,0.541353779078961,0.117062555902557,0.0491045119583192,0.00170205645246646,0.00128227899321232,0.950343590147904,0.0469169484430426,0.00236010822465416,0.871267080151008,0.345556248247327,0.00516636401840187,0.902569188605474
